contestant,sport,record,matchup,away_team,home_team,pick_type,pick_text,team,line,units_wagered
leafs126,NBA,187-150-5,San Antonio @ New Orleans,San Antonio,New Orleans,Total (Under),Under 236.5,Under,236.5,+500
alayne25,NBA,118-85-4,Phoenix @ Minnesota,Phoenix,Minnesota,Spread (ATS),PHO +9.5,PHO,+9.5,+500
alayne25,NBA,118-85-4,Phoenix @ Minnesota,Phoenix,Minnesota,Total (Under),Under 224.5,Under,224.5,+500
alayne25,NBA,118-85-4,San Antonio @ New Orleans,San Antonio,New Orleans,Total (Under),Under 236.5,Under,236.5,+500
Sandsaver727,NBA,374-321-9,Sacramento @ Indiana,Sacramento,Indiana,Spread (ATS),IND -3.5,IND,-3.5,+500
Sandsaver727,NBA,374-321-9,Sacramento @ Indiana,Sacramento,Indiana,Total (Under),Under 233.5,Under,233.5,+500
Sandsaver727,NBA,374-321-9,Phoenix @ Minnesota,Phoenix,Minnesota,Spread (ATS),MIN -9.5,MIN,-9.5,+500
Sandsaver727,NBA,374-321-9,Phoenix @ Minnesota,Phoenix,Minnesota,Total (Under),Under 227.5,Under,227.5,+500
Sandsaver727,NBA,374-321-9,San Antonio @ New Orleans,San Antonio,New Orleans,Spread (ATS),SA -9.5,SA,-9.5,+500
Sandsaver727,NBA,374-321-9,San Antonio @ New Orleans,San Antonio,New Orleans,Total (Under),Under 237.5,Under,237.5,+500
Layne17,NBA,188-152-2,Sacramento @ Indiana,Sacramento,Indiana,Spread (ATS),IND -4.0,IND,-4.0,+500
Layne17,NBA,188-152-2,Phoenix @ Minnesota,Phoenix,Minnesota,Spread (ATS),PHO +9.5,PHO,+9.5,+500
Layne17,NBA,188-152-2,Phoenix @ Minnesota,Phoenix,Minnesota,Total (Under),Under 224.5,Under,224.5,+500
Layne17,NBA,188-152-2,San Antonio @ New Orleans,San Antonio,New Orleans,Total (Under),Under 236.5,Under,236.5,+500
bigjohn867,NBA,64-40-2,Miami @ Orlando,Miami,Orlando,Spread (ATS),MIA +5.5,MIA,+5.5,+500
bigjohn867,NBA,64-40-2,New York @ Toronto,New York,Toronto,Spread (ATS),TOR +1.5,TOR,+1.5,+500
Kansas2014,NBA,64-40-0,Sacramento @ Indiana,Sacramento,Indiana,Total (Under),Under 235.0,Under,235.0,+500
plastikman200,NBA,230-191-7,Sacramento @ Indiana,Sacramento,Indiana,Total (Under),Under 233.5,Under,233.5,+500
plastikman200,NBA,230-191-7,Phoenix @ Minnesota,Phoenix,Minnesota,Spread (ATS),PHO +9.5,PHO,+9.5,+500
plastikman200,NBA,230-191-7,Phoenix @ Minnesota,Phoenix,Minnesota,Total (Under),Under 226.5,Under,226.5,+500
plastikman200,NBA,230-191-7,San Antonio @ New Orleans,San Antonio,New Orleans,Total (Under),Under 237.0,Under,237.0,+500
dashow69,NBA,138-107-5,Sacramento @ Indiana,Sacramento,Indiana,Spread (ATS),IND -3.5,IND,-3.5,+500
dashow69,NBA,138-107-5,Sacramento @ Indiana,Sacramento,Indiana,Total (Over),Over 234.0,Over,234.0,+500
beloborg151,NBA,275-233-9,Sacramento @ Indiana,Sacramento,Indiana,Spread (ATS),SAC +3.5,SAC,+3.5,+500
beloborg151,NBA,275-233-9,Sacramento @ Indiana,Sacramento,Indiana,Total (Over),Over 233.5,Over,233.5,+500
beloborg151,NBA,275-233-9,Phoenix @ Minnesota,Phoenix,Minnesota,Spread (ATS),PHO +9.5,PHO,+9.5,+500
beloborg151,NBA,275-233-9,Phoenix @ Minnesota,Phoenix,Minnesota,Total (Over),Over 227.5,Over,227.5,+500
beloborg151,NBA,275-233-9,San Antonio @ New Orleans,San Antonio,New Orleans,Spread (ATS),SA -10.0,SA,-10.0,+500
beloborg151,NBA,275-233-9,San Antonio @ New Orleans,San Antonio,New Orleans,Total (Over),Over 236.0,Over,236.0,+500
Skyperus,NBA,214-178-5,Sacramento @ Indiana,Sacramento,Indiana,Spread (ATS),SAC +3.5,SAC,+3.5,+500
Skyperus,NBA,214-178-5,Sacramento @ Indiana,Sacramento,Indiana,Total (Over),Over 234.5,Over,234.5,+500
Skyperus,NBA,214-178-5,Phoenix @ Minnesota,Phoenix,Minnesota,Spread (ATS),MIN -9.5,MIN,-9.5,+500
Skyperus,NBA,214-178-5,Phoenix @ Minnesota,Phoenix,Minnesota,Total (Over),Over 226.5,Over,226.5,+500
Skyperus,NBA,214-178-5,San Antonio @ New Orleans,San Antonio,New Orleans,Spread (ATS),SA -9.5,SA,-9.5,+500
Skyperus,NBA,214-178-5,San Antonio @ New Orleans,San Antonio,New Orleans,Total (Under),Under 236.5,Under,236.5,+500
tonloc4554,NBA,326-280-8,Miami @ Orlando,Miami,Orlando,Spread (ATS),MIA +5.5,MIA,+5.5,+500
tonloc4554,NBA,326-280-8,Miami @ Orlando,Miami,Orlando,Total (Over),Over 238.5,Over,238.5,+500
tonloc4554,NBA,326-280-8,New York @ Toronto,New York,Toronto,Spread (ATS),NY -2.5,NY,-2.5,+500
tonloc4554,NBA,326-280-8,New York @ Toronto,New York,Toronto,Total (Over),Over 231.5,Over,231.5,+500
stephenng,NBA,130-102-4,Sacramento @ Indiana,Sacramento,Indiana,Spread (ATS),IND -4.0,IND,-4.0,+500
stephenng,NBA,130-102-4,Phoenix @ Minnesota,Phoenix,Minnesota,Spread (ATS),PHO +10.0,PHO,+10.0,+500
stephenng,NBA,130-102-4,San Antonio @ New Orleans,San Antonio,New Orleans,Spread (ATS),SA -9.5,SA,-9.5,+500
hogster,NBA,373-323-10,Sacramento @ Indiana,Sacramento,Indiana,Spread (ATS),IND -4.0,IND,-4.0,+500
hogster,NBA,373-323-10,Sacramento @ Indiana,Sacramento,Indiana,Total (Over),Over 234.5,Over,234.5,+500
hogster,NBA,373-323-10,Phoenix @ Minnesota,Phoenix,Minnesota,Spread (ATS),MIN -10.0,MIN,-10.0,+500
